# BTCUSDT Price Data
# Timeframe: 1s
# Export Date: 2025-11-23 23:05:01
# Total Candles: 171
# Price Range: $86787.60 - $86920.40
# Total Volume: 234.3920
#
time,open,high,low,close,volume,symbol
2025-11-23 17:37:53,86892.5,86900.0,86892.4,86899.9,1.896,BTCUSDT
2025-11-23 17:37:54,86900.0,86910.9,86899.9,86910.8,5.181,BTCUSDT
2025-11-23 17:37:55,86910.9,86910.9,86907.1,86907.2,3.531,BTCUSDT
2025-11-23 17:37:56,86907.1,86907.2,86907.1,86907.1,0.485,BTCUSDT
2025-11-23 17:37:57,86907.2,86907.2,86907.1,86907.2,0.135,BTCUSDT
2025-11-23 17:37:58,86907.1,86907.2,86907.1,86907.1,0.152,BTCUSDT
2025-11-23 17:37:59,86907.2,86910.9,86907.1,86910.8,0.651,BTCUSDT
2025-11-23 17:38:00,86910.8,86910.9,86906.1,86906.2,1.196,BTCUSDT
2025-11-23 17:38:01,86906.2,86906.2,86906.1,86906.2,0.482,BTCUSDT
2025-11-23 17:38:02,86906.2,86906.2,86906.1,86906.1,0.131,BTCUSDT
2025-11-23 17:38:03,86906.2,86906.2,86906.1,86906.2,0.268,BTCUSDT
2025-11-23 17:38:04,86906.2,86906.2,86906.1,86906.1,0.436,BTCUSDT
2025-11-23 17:38:05,86906.2,86906.2,86897.3,86897.4,1.567,BTCUSDT
2025-11-23 17:38:06,86897.3,86897.4,86897.3,86897.3,0.541,BTCUSDT
2025-11-23 17:38:07,86897.4,86897.4,86897.3,86897.4,0.18,BTCUSDT
2025-11-23 17:38:08,86897.4,86906.2,86897.3,86906.1,1.626,BTCUSDT
2025-11-23 17:38:09,86906.2,86906.2,86906.2,86906.2,0.17400000000000002,BTCUSDT
2025-11-23 17:38:10,86906.1,86906.2,86906.1,86906.2,0.213,BTCUSDT
2025-11-23 17:38:11,86906.1,86910.9,86906.1,86908.7,3.264,BTCUSDT
2025-11-23 17:38:12,86908.8,86908.8,86908.7,86908.8,0.174,BTCUSDT
2025-11-23 17:38:13,86908.8,86908.8,86908.7,86908.7,0.398,BTCUSDT
2025-11-23 17:38:14,86908.8,86908.8,86908.7,86908.7,0.5389999999999999,BTCUSDT
2025-11-23 17:38:15,86908.7,86910.9,86908.7,86910.8,1.097,BTCUSDT
2025-11-23 17:38:16,86910.9,86920.4,86910.8,86920.4,3.608,BTCUSDT
2025-11-23 17:38:17,86920.4,86920.4,86914.2,86914.2,2.314,BTCUSDT
2025-11-23 17:38:18,86914.3,86914.3,86914.2,86914.2,0.187,BTCUSDT
2025-11-23 17:38:19,86914.3,86914.3,86892.3,86892.5,12.266,BTCUSDT
2025-11-23 17:38:20,86892.4,86892.4,86892.3,86892.4,0.088,BTCUSDT
2025-11-23 17:38:21,86892.3,86892.4,86892.3,86892.4,0.383,BTCUSDT
2025-11-23 17:38:22,86892.4,86892.4,86892.4,86892.4,0.708,BTCUSDT
2025-11-23 17:38:23,86892.4,86892.4,86892.3,86892.4,0.519,BTCUSDT
2025-11-23 17:38:24,86892.3,86892.3,86892.3,86892.3,0.068,BTCUSDT
2025-11-23 17:38:25,86892.3,86892.4,86892.3,86892.4,2.532,BTCUSDT
2025-11-23 17:38:26,86892.4,86896.3,86892.4,86896.3,1.09,BTCUSDT
2025-11-23 17:38:27,86896.2,86896.3,86896.2,86896.2,0.074,BTCUSDT
2025-11-23 17:38:28,86896.2,86896.3,86896.2,86896.3,0.269,BTCUSDT
2025-11-23 17:38:29,86896.3,86896.3,86896.2,86896.3,0.218,BTCUSDT
