BTCUSDT_price,ETHUSDT_price,spread,zscore,correlation
84097.5,2728.28,16378.16522271224,,
84188.5,2731.97,16377.574790158324,,
84200.0,2731.43,16402.47826809305,,
84280.0,2735.42,16383.441458908725,,
84411.2,2739.24,16419.824263148315,,
84555.0,2745.99,16396.080788964333,,
84481.1,2744.92,16348.739532279418,,
84325.1,2738.82,16344.149190430864,,
84349.5,2737.49,16401.561460158977,,
84395.7,2741.0,16360.638853583296,,
