# Pairs Trading Analytics Export
# Pair: BTCUSDT / ETHUSDT
# Timeframe: 1m
# Export Date: 2025-11-24 00:49:12
# Total Data Points: 100
#
# === CALCULATION FORMULAS ===
# Hedge Ratio (β): Calculated using OLS regression: BTCUSDT = α + β × ETHUSDT
# Hedge Ratio Value: 2.129761
# R-Squared: 0.026781
#
# Spread = Price_BTCUSDT - (Hedge_Ratio × Price_ETHUSDT)
# Z-Score = (Spread - Rolling_Mean) / Rolling_StdDev
# Correlation = Rolling correlation between BTCUSDT and ETHUSDT prices
# Signal: 1 = LONG, -1 = SHORT, 0 = NEUTRAL/EXIT
#
# === TRADING LOGIC ===
# LONG Signal: Z-Score < -2.0 (Spread abnormally low)
# SHORT Signal: Z-Score > +2.0 (Spread abnormally high)
# EXIT Signal: |Z-Score| < 0.5 (Spread near mean)
#
time,price_btcusdt,price_ethusdt,spread,zscore,correlation,trading_signal,hedge_ratio
2025-11-23 10:58:00,86049.9,2808.04,80069.44719670973,,,0,2.129760545893312
2025-11-23 12:31:00,86682.0,2830.37,80653.98964371995,,,0,2.129760545893312
2025-11-23 12:32:00,86723.5,2831.66,80692.74225261575,,,0,2.129760545893312
2025-11-23 12:33:00,86690.7,2830.89,80661.58216823608,,,0,2.129760545893312
2025-11-23 12:34:00,86661.9,2830.72,80633.14422752887,,,0,2.129760545893312
2025-11-23 12:35:00,86684.2,2834.17,80648.09655364555,,,0,2.129760545893312
2025-11-23 12:36:00,86795.3,2839.78,80747.24859698309,,,0,2.129760545893312
2025-11-23 12:37:00,86719.0,2837.27,80676.29429595328,,,0,2.129760545893312
2025-11-23 12:45:00,86540.7,2835.1,80502.61587633786,,,0,2.129760545893312
2025-11-23 12:46:00,86516.2,2833.21,80482.1411237696,,,0,2.129760545893312
2025-11-23 12:47:00,86464.1,2832.12,80432.36256276464,,,0,2.129760545893312
2025-11-23 12:48:00,86410.4,2830.94,80381.17568020878,,,0,2.129760545893312
2025-11-23 12:49:00,86452.1,2832.23,80420.12828910458,,,0,2.129760545893312
2025-11-23 12:50:00,86519.9,2834.36,80483.39189914183,,,0,2.129760545893312
2025-11-23 12:51:00,86579.9,2834.68,80542.71037576714,,,0,2.129760545893312
2025-11-23 12:52:00,86626.8,2836.1,80586.58611579199,,,0,2.129760545893312
2025-11-23 12:53:00,86585.8,2833.84,80550.3993746257,,,0,2.129760545893312
2025-11-23 12:54:00,86584.8,2834.67,80547.63167337261,,,0,2.129760545893312
2025-11-23 12:55:00,86561.6,2834.43,80524.94281590363,,,0,2.129760545893312
2025-11-23 12:56:00,86522.8,2832.56,80490.12546812445,-0.3114388824974532,0.7982992760526078,0,2.129760545893312
2025-11-23 13:57:00,86860.5,2842.29,80807.1028980129,2.053551202506419,0.5583985060694208,-1,2.129760545893312
2025-11-23 13:58:00,86851.8,2841.5,80800.08540884416,1.7761634431934143,0.7077203113326335,0,2.129760545893312
2025-11-23 13:59:00,86865.0,2841.82,80812.60388546946,1.7132210706535946,0.8185773200387386,0,2.129760545893312
2025-11-23 14:24:00,86692.4,2826.28,80673.10036435265,0.6499132878236025,0.705771377982491,0,2.129760545893312
2025-11-23 14:25:00,86742.2,2828.73,80717.68245101521,0.934610753178799,0.622069758771453,0,2.129760545893312
2025-11-23 14:26:00,86788.0,2830.0,80760.77765512193,1.1705228177912974,0.5258809083233574,0,2.129760545893312
2025-11-23 14:27:00,86762.5,2828.58,80738.3019150971,1.0167039118202879,0.3912710709141606,0,2.129760545893312
2025-11-23 14:28:00,86755.0,2828.51,80730.9509983353,0.929967752544452,0.301173859860316,0,2.129760545893312
2025-11-23 14:29:00,86751.2,2828.24,80727.7260336827,0.8227339107252691,0.25777753324308644,0,2.129760545893312
2025-11-23 15:00:00,86412.7,2811.93,80423.96242818622,-1.2594165266875739,0.42522666859247155,0,2.129760545893312
2025-11-23 15:01:00,86484.3,2815.36,80488.2573495138,-0.8553935143338551,0.49303078278986184,0,2.129760545893312
2025-11-23 15:02:00,86533.6,2817.31,80533.40431644932,-0.6327941469276062,0.5468633868176879,0,2.129760545893312
2025-11-23 15:03:00,86431.4,2810.21,80446.32561632515,-1.3129308638431905,0.6557925728745566,0,2.129760545893312
2025-11-23 15:04:00,86501.5,2811.64,80513.38005874453,-0.8245299155831035,0.7179069967566483,0,2.129760545893312
2025-11-23 15:05:00,86461.3,2809.0,80478.80262658569,-1.043221251442678,0.7675580686591559,0,2.129760545893312
2025-11-23 15:06:00,86539.9,2811.49,80552.09952282641,-0.4770681877637379,0.7855650767516248,0,2.129760545893312
2025-11-23 15:07:00,86593.5,2813.6,80601.20572807458,-0.12958371685146436,0.8025374459617627,0,2.129760545893312
2025-11-23 15:10:00,86662.3,2817.57,80661.55057870738,0.2833232416293917,0.8246792664666117,0,2.129760545893312
2025-11-23 15:11:00,86720.3,2820.29,80713.75763002255,0.610335626312642,0.8627287288602141,0,2.129760545893312
2025-11-23 15:12:00,86638.7,2817.89,80637.2690553327,-0.028728656344275388,0.9334660699558326,0,2.129760545893312
2025-11-23 15:13:00,86685.3,2819.92,80679.54564142454,0.3710938872056891,0.922893064044387,0,2.129760545893312
2025-11-23 15:14:00,86662.7,2819.19,80658.50036662303,0.26972222652600075,0.9154550557026385,0,2.129760545893312
2025-11-23 15:15:00,86652.3,2818.68,80649.18654450144,0.2800829203871382,0.9100817492214797,0,2.129760545893312
2025-11-23 15:38:00,86923.7,2830.18,80896.09429822366,2.1587483990902308,0.915764483594185,-1,2.129760545893312
