# BTCUSDT Price Data
# Timeframe: 1m
# Export Date: 2025-11-23 20:26:53
# Total Candles: 60
#
time,open,high,low,close,volume,symbol
2025-11-23 09:57:00,86310.0,86313.0,86300.0,86308.8,34.322,BTCUSDT
2025-11-23 09:58:00,86308.8,86384.9,86308.7,86364.4,62.009,BTCUSDT
2025-11-23 09:59:00,86364.3,86364.4,86348.1,86348.2,25.851,BTCUSDT
2025-11-23 10:00:00,86348.2,86399.0,86348.1,86385.4,82.81,BTCUSDT
2025-11-23 10:01:00,86385.5,86410.0,86350.0,86350.1,67.862,BTCUSDT
2025-11-23 10:02:00,86350.0,86353.5,86249.4,86254.7,90.86,BTCUSDT
2025-11-23 10:03:00,86254.8,86299.9,86254.7,86259.2,47.431,BTCUSDT
2025-11-23 10:04:00,86259.2,86281.9,86230.2,86259.6,130.188,BTCUSDT
2025-11-23 10:05:00,86259.6,86287.5,86250.0,86268.5,55.53,BTCUSDT
2025-11-23 10:06:00,86268.5,86268.6,86213.1,86258.2,65.975,BTCUSDT
2025-11-23 10:07:00,86258.2,86274.7,86242.4,86258.6,64.546,BTCUSDT
2025-11-23 10:08:00,86258.6,86276.2,86229.8,86275.6,40.638,BTCUSDT
2025-11-23 10:09:00,86275.7,86275.7,86230.0,86273.6,40.18,BTCUSDT
2025-11-23 10:10:00,86273.6,86273.7,86227.1,86233.2,33.462,BTCUSDT
2025-11-23 10:11:00,86233.1,86245.8,86194.3,86226.1,78.111,BTCUSDT
2025-11-23 10:12:00,86226.0,86246.0,86195.1,86243.4,66.923,BTCUSDT
2025-11-23 10:13:00,86243.5,86258.5,86229.7,86231.6,34.556,BTCUSDT
2025-11-23 10:21:00,86187.7,86191.9,86175.2,86175.2,5.977,BTCUSDT
2025-11-23 10:22:00,86175.3,86292.4,86175.2,86270.3,44.696,BTCUSDT
2025-11-23 10:23:00,86270.4,86284.4,86242.3,86284.3,27.914,BTCUSDT
2025-11-23 10:24:00,86284.4,86304.5,86257.0,86267.5,32.386,BTCUSDT
2025-11-23 10:25:00,86267.6,86314.2,86267.5,86314.2,9.512,BTCUSDT
2025-11-23 10:52:00,86114.4,86138.0,86106.3,86134.3,34.812,BTCUSDT
2025-11-23 10:53:00,86134.3,86224.4,86134.3,86224.4,47.244,BTCUSDT
2025-11-23 10:54:00,86224.4,86234.9,86215.9,86220.4,23.431,BTCUSDT
2025-11-23 10:55:00,86220.3,86244.6,86082.3,86095.2,179.103,BTCUSDT
2025-11-23 10:56:00,86095.3,86117.4,86039.0,86060.8,227.135,BTCUSDT
2025-11-23 10:57:00,86060.8,86084.3,86000.0,86038.4,345.498,BTCUSDT
2025-11-23 10:58:00,86038.7,86050.0,86038.7,86049.9,5.024,BTCUSDT
2025-11-23 12:31:00,86696.6,86696.6,86681.9,86682.0,5.993,BTCUSDT
2025-11-23 12:32:00,86682.0,86747.4,86681.9,86723.5,112.679,BTCUSDT
2025-11-23 12:33:00,86723.5,86737.5,86690.7,86690.7,82.827,BTCUSDT
2025-11-23 12:34:00,86690.7,86715.5,86658.8,86661.9,147.678,BTCUSDT
2025-11-23 12:35:00,86661.9,86684.3,86632.7,86684.2,155.322,BTCUSDT
2025-11-23 12:36:00,86684.2,86804.6,86684.2,86795.3,202.47,BTCUSDT
2025-11-23 12:37:00,86795.4,86858.0,86704.3,86719.0,238.928,BTCUSDT
2025-11-23 12:45:00,86540.3,86540.8,86535.2,86540.7,17.492,BTCUSDT
2025-11-23 12:46:00,86540.7,86582.3,86516.1,86516.2,124.201,BTCUSDT
2025-11-23 12:47:00,86516.1,86527.8,86464.1,86464.1,90.411,BTCUSDT
2025-11-23 12:48:00,86464.1,86464.2,86405.2,86410.4,96.187,BTCUSDT
2025-11-23 12:49:00,86410.3,86486.0,86410.3,86452.1,50.827,BTCUSDT
2025-11-23 12:50:00,86452.1,86520.0,86450.0,86519.9,70.204,BTCUSDT
2025-11-23 12:51:00,86519.9,86579.9,86495.0,86579.9,61.965,BTCUSDT
2025-11-23 12:52:00,86579.9,86639.4,86579.8,86626.8,128.572,BTCUSDT
2025-11-23 12:53:00,86626.8,86635.1,86563.8,86585.8,100.797,BTCUSDT
2025-11-23 12:54:00,86585.8,86589.9,86567.1,86584.8,27.275,BTCUSDT
2025-11-23 12:55:00,86584.8,86593.0,86541.7,86561.6,53.179,BTCUSDT
2025-11-23 12:56:00,86561.7,86561.7,86522.8,86522.8,16.653,BTCUSDT
2025-11-23 13:57:00,86846.7,86860.5,86846.6,86860.5,7.656999999999999,BTCUSDT
2025-11-23 13:58:00,86860.4,86860.5,86833.4,86851.8,33.478,BTCUSDT
2025-11-23 13:59:00,86851.9,86865.0,86851.8,86865.0,32.732,BTCUSDT
2025-11-23 14:24:00,86675.9,86692.5,86673.3,86692.4,12.538,BTCUSDT
2025-11-23 14:25:00,86692.5,86760.9,86692.4,86742.2,62.971000000000004,BTCUSDT
2025-11-23 14:26:00,86742.1,86788.0,86737.7,86788.0,51.852000000000004,BTCUSDT
2025-11-23 14:27:00,86787.9,86788.0,86752.4,86762.5,41.682,BTCUSDT
2025-11-23 14:28:00,86762.5,86792.9,86755.0,86755.0,78.287,BTCUSDT
2025-11-23 14:29:00,86755.0,86757.9,86736.7,86751.2,44.312,BTCUSDT
2025-11-23 15:00:00,86471.3,86471.3,86407.8,86412.6,131.673,BTCUSDT
2025-11-23 15:01:00,86408.0,86505.0,86406.1,86484.3,81.02,BTCUSDT
2025-11-23 15:02:00,86484.4,86535.2,86478.5,86527.2,41.36,BTCUSDT
